Unnamed: 0,timestamp,cell_id,latency_ms,packet_loss_rate_percent,load_percent,active_users,spectrum_mhz,source_cell_id,target_cell_id,handover_attempts,handover_failures,rsrp_dBm,rsrq_dB,sinr_dB,spectrum_utilization_percent,congestion_level_percent,year,month,week,daily,hour,dayofweek,lag_1,lag_3,sin_day_of_week,cos_day_of_week,band_Band1,band_Band2,band_Band3,issue_description_Equipment failure,issue_description_Network instability,issue_description_Overload,issue_description_Signal loss,traffic_mbps,model_prediction,available_capacity,Calculated_total_capacity(Mbps),Capacity_Allocated(Mbps)
0,1/1/2024 0:00,Cell5,46,3.708797384,40.02080503,4505,26,Cell36,Cell71,12,2,-85,-9.643270748,-6.32935071,98.30477418,94.34758837,2024,1,1,1,0,0,100.6413317,117.0724772,0,1,0,1,0,0,1,0,0,165.529279,166.94937,14141669.79,3796.910622,2607.164045
1,1/1/2024 1:00,Cell90,113,4.38419703,70.21860226,3314,13,Cell89,Cell76,10,4,-93,-6.33838158,18.46127565,33.36480538,14.4286202,2024,1,1,1,1,0,233.97974,179.0081089,0,1,0,1,0,0,0,1,0,206.6728301,203.49779,5001710.887,2240.246591,1562.862604
2,1/1/2024 2:00,Cell61,102,1.853567818,53.49295186,1491,28,Cell17,Cell22,11,4,-113,-10.24065225,17.29317425,58.88119334,39.37550991,2024,1,1,1,2,0,148.576463,193.2754143,0,1,1,0,0,0,0,0,1,138.6522572,132.34709,9310616.765,3038.354695,2145.052961
3,1/1/2024 3:00,Cell85,53,2.036718761,57.78858182,4553,32,Cell70,Cell35,13,7,-72,-7.78982912,33.38609776,61.11341159,79.17512711,2024,1,1,1,3,0,198.2208942,156.7217156,0,1,1,0,0,0,0,1,0,207.9837322,208.85162,11553166.87,3413.755392,2369.008871
4,1/1/2024 4:00,Cell90,57,2.165791097,85.29387454,2601,36,Cell71,Cell85,20,8,-115,-9.755040769,5.907873292,22.90412045,95.62134797,2024,1,1,1,4,0,206.6728301,110.9204139,0,1,0,1,0,1,0,0,0,230.2405838,223.13359,3448469.609,1846.383181,1307.38232
5,1/1/2024 5:00,Cell26,106,4.611615307,51.59784278,2260,59,Cell46,Cell29,0,8,-120,-0.166210473,5.204437735,27.04251334,23.49362603,2024,1,1,1,5,0,75.66895239,77.48624688,0,1,0,1,0,0,0,0,1,153.7785667,148.85696,1695190.993,1317.694995,900.5374533
6,1/1/2024 6:00,Cell72,200,3.462819958,66.71754858,1831,51,Cell79,Cell17,8,4,-116,-15.85019973,-5.29377376,67.3408645,5.546511526,2024,1,1,1,6,0,79.77425409,226.3207811,0,1,1,0,0,1,0,0,0,161.0988951,172.69633,19070712.14,4359.758986,3061.980845
7,1/1/2024 7:00,Cell5,84,1.238230585,51.808904,385,55,Cell70,Cell28,2,1,-113,-2.169150384,17.16277544,47.3418976,66.12408266,2024,1,1,1,7,0,165.529279,66.84790726,0,1,0,1,0,1,0,0,0,112.5873163,108.61696,5573514.848,2354.581027,1656.965868
8,1/1/2024 8:00,Cell15,150,0.924998488,35.68364912,527,54,Cell32,Cell47,6,9,-80,-10.70962142,-8.799035544,98.24749585,7.321530742,2024,1,1,1,8,0,164.1021539,215.2176879,0,1,1,0,0,1,0,0,0,80.26358243,79.755104,11113652.47,3372.898024,2306.490346
9,1/1/2024 9:00,Cell16,175,1.151838317,57.21152052,1411,23,Cell60,Cell41,14,5,-102,-19.49638799,36.85474263,29.22609068,20.55666556,2024,1,1,1,9,0,197.4107583,136.146904,0,1,0,1,0,0,0,0,1,139.8640669,144.91267,2497928.043,1586.631475,1102.051521
10,1/1/2024 10:00,Cell1,161,1.317819446,65.82369027,3350,13,Cell42,Cell17,6,3,-118,-0.440470135,1.849324714,50.99643225,43.08258913,2024,1,1,1,10,0,176.3895907,216.4157385,0,1,0,0,1,1,0,0,0,207.8052987,197.148,10216229.63,3240.953239,2206.560914
11,1/1/2024 11:00,Cell16,71,1.150917457,54.45019752,4197,13,Cell40,Cell4,10,8,-82,-2.610432231,12.23336771,17.04560519,56.03414019,2024,1,1,1,11,0,139.8640669,57.75104149,0,1,0,1,0,0,1,0,0,191.9763107,190.28284,752313.1958,857.6407666,614.0324219
